#YYMM DD UTSEC   AZ      EL    PLAT    PLON   PCGLAT   PCMLT   S4     DPR    PTEC    STEC  STECE   VTEC  VTECE PRN
13 12 29 00042 349.90  11.30   87.99  -51.59   83.96    5.53  0.12   13.41    0.00   -1.00 -1.00   -1.00 -1.00 01
13 12 29 00042  97.70  26.20   76.99   37.03   72.69    3.13  0.08    8.18    0.00   13.61 77.90    7.16 40.97 04
13 12 29 00042 187.70  59.00   77.16   10.86   74.46    1.98  0.03    4.34    0.00    5.93 77.86    5.18 67.95 12
13 12 29 00042 256.50  41.70   77.76   -3.12   76.30    1.48  0.04    8.25    0.00    6.32 77.87    4.46 55.01 14
13 12 29 00042  56.40  31.00   80.67   36.57   76.05    3.54  0.05   12.81    0.00   11.99 77.88    6.99 45.40 17
13 12 29 00042  16.20  26.70   83.95   26.43   79.29    3.84  0.07   14.43    0.00   13.28 77.87    7.06 41.41 20
13 12 29 00042 157.50  24.80   73.39   19.74   70.14    1.99  0.16   18.56    0.00   18.98 77.85    9.67 39.66 24
13 12 29 00042 235.00  32.90   75.97   -2.95   74.60    1.22  0.06    7.21    0.00    7.86 77.86    4.76 47.14 25
13 12 29 00042 297.40  14.60   79.51  -36.75   82.03    0.49  0.12   19.04    0.00   -1.00 -1.00   -1.00 -1.00 31
13 12 29 00042 334.30  31.80   82.74   -3.78   80.47    2.65  0.05   14.87    0.00   14.92 77.89    8.84 46.14 32
13 12 29 00102 349.70  10.90   88.00  -57.41   84.05    5.67  0.24   16.01    0.00   -1.00 -1.00   -1.00 -1.00 01
13 12 29 00102  97.40  26.50   77.04   36.86   72.75    3.14  0.08   14.58    0.00   13.54 77.90    7.17 41.25 04
13 12 29 00102 186.90  59.20   77.17   10.98   74.46    2.00  0.03    3.54    0.00    5.86 77.86    5.12 68.07 12
13 12 29 00102 256.00  41.50   77.72   -3.15   76.27    1.49  0.05    9.75    0.00    6.17 77.87    4.35 54.84 14
13 12 29 00102  56.20  30.60   80.69   36.95   76.06    3.58  0.05   15.11    0.00   12.06 77.88    6.97 45.03 17
13 12 29 00102  15.80  26.80   83.95   26.02   79.31    3.84  0.05   13.43    0.00   13.01 77.87    6.94 41.50 20
13 12 29 00102 157.40  24.40   73.31   19.86   70.05    2.01  0.13   19.16    0.00   18.98 77.85    9.58 39.30 24
13 12 29 00102 234.90  33.30   76.01   -2.77   74.62    1.25  0.05    8.81    0.00    7.66 77.86    4.68 47.51 25
13 12 29 00102 297.40  15.00   79.56  -35.94   81.95    0.56  0.11   17.84    0.00   -1.00 -1.00   -1.00 -1.00 31
13 12 29 00102 333.80  31.80   82.71   -4.01   80.47    2.65  0.05   15.87    0.00   15.71 77.89    9.31 46.14 32
13 12 29 00162 349.50  10.60   87.98  -61.92   84.12    5.78  0.19   18.51    0.00   -1.00 -1.00   -1.00 -1.00 01
13 12 29 00162  97.00  26.90   77.12   36.65   72.83    3.16  0.06   11.38    0.00   13.61 77.90    7.27 41.61 04
13 12 29 00162 186.10  59.30   77.18   11.09   74.46    2.03  0.03    3.44    0.00    6.01 77.86    5.26 68.13 12
13 12 29 00162 255.50  41.30   77.69   -3.17   76.24    1.50  0.05    8.95    0.00    6.06 77.87    4.25 54.67 14
13 12 29 00162  55.90  30.30   80.73   37.23   76.07    3.61  0.06   13.71    0.00   12.16 77.88    6.98 44.75 17
13 12 29 00162  15.40  27.00   83.93   25.53   79.32    3.84  0.06   12.13    0.00   12.63 77.87    6.76 41.69 20
13 12 29 00162 157.40  24.00   73.22   19.94   69.96    2.02  0.10   19.16    0.00   18.99 77.85    9.50 38.93 24
13 12 29 00162 234.80  33.70   76.05   -2.59   74.64    1.28  0.06   11.01    0.00    7.62 77.86    4.69 47.88 25
13 12 29 00162 297.30  15.50   79.61  -34.91   81.83    0.64  0.10   17.64    0.00   -1.00 -1.00   -1.00 -1.00 31
13 12 29 00162 333.40  31.70   82.70   -4.28   80.49    2.66  0.05   14.97    0.00   15.67 77.89    9.26 46.05 32
13 12 29 00222 349.40  10.20   87.97  -67.91   84.19    5.93  0.19   19.61    0.00   -1.00 -1.00   -1.00 -1.00 01
13 12 29 00222  96.70  27.20   77.17   36.49   72.88    3.17  0.09    8.98    0.00   13.33 77.90    7.17 41.89 04
13 12 29 00222 185.20  59.50   77.19   11.22   74.46    2.05  0.03    4.24    0.00    6.03 77.86    5.28 68.26 12
13 12 29 00222 255.00  41.00   77.64   -3.24   76.21    1.50  0.04    9.05    0.00    5.86 77.87    4.09 54.41 14
13 12 29 00222  55.70  29.90   80.75   37.63   76.08    3.65  0.06   10.61    0.00   12.18 77.88    6.94 44.38 17
13 12 29 00222  15.00  27.20   83.92   25.04   79.34    3.84  0.06   12.83    0.00   12.55 77.87    6.75 41.87 20
13 12 29 00222 157.30  23.50   73.11   20.07   69.84    2.04  0.11   18.46    0.00   19.07 77.85    9.42 38.48 24
13 12 29 00222 234.60  34.20   76.09   -2.35   74.66    1.31  0.06   12.11    0.00    7.71 77.86    4.79 48.33 25
13 12 29 00222 297.20  15.90   79.64  -34.10   81.74    0.70  0.11   16.44    0.00   -1.00 -1.00   -1.00 -1.00 31
13 12 29 00222 332.90  31.60   82.69   -4.59   80.50    2.66  0.06   16.37    0.00   14.85 77.89    8.76 45.96 32
13 12 29 00282  96.40  27.50   77.23   36.33   72.94    3.19  0.09    8.18    0.00   13.25 77.90    7.17 42.17 04
13 12 29 00282 184.30  59.70   77.20   11.35   74.46    2.07  0.03    5.44    0.00    5.94 77.86    5.22 68.38 12
13 12 29 00282 254.50  40.80   77.61   -3.26   76.18    1.51  0.05    8.75    0.00    5.78 77.87    4.02 54.24 14
13 12 29 00282  55.50  29.50   80.78   38.04   76.08    3.69  0.05   11.11    0.00   12.15 77.88    6.87 44.01 17
13 12 29 00282  14.50  27.30   83.92   24.57   79.36    3.85  0.06   15.13    0.00   12.67 77.87    6.83 41.97 20
13 12 29 00282 157.20  23.10   73.02   20.19   69.74    2.05  0.15   20.46    0.00   19.18 77.85    9.39 38.12 24
13 12 29 00282 234.50  34.60   76.13   -2.17   74.68    1.34  0.06   10.81    0.00    7.83 77.86    4.90 48.70 25
13 12 29 00282 297.20  16.30   79.69  -33.32   81.66    0.77  0.11   15.54    0.00   -1.00 -1.00   -1.00 -1.00 31
13 12 29 00282 332.40  31.50   82.67   -4.91   80.52    2.67  0.06   17.17    0.00   14.40 77.89    8.48 45.87 32
